company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(주)에이아이콴텍,매우낮음,4042.5,4129.5,4257.75,4439,4602.25,4751,4891.75,5027.5,5202.25,5400.75,5616.25,5838,6049.75,6252.75,6451.75,6651.5,6861,7085.75,7201.67,8561.67,8685.91
(주)에이트테크,보통,3315.25,3383.75,3482,3618,3736.25,3854,3979.25,4100.75,4237.75,4369.25,4493.25,4614.25,4737.75,4869.5,5010.75,5166.5,5340.5,5536.75,5636.33,6824.67,6933.91
(주)에이핀테크놀러지,낮음,2921.5,2983.25,3070.75,3191,3301,3411.75,3530,3646.25,3775.5,3900,4022,4146.25,4271,4398.5,4531.5,4680.5,4856.25,5059.75,5167.33,6357.67,6466.27
(주)에프에스솔루션,보통,4171,4257.25,4381.75,4560,4727.75,4892,5052.5,5193.5,5347,5503.25,5668.5,5843,6016,6184.5,6351.25,6524.75,6715,6930.75,7041.33,8990.25,9168.55
(주)에프엘이에스,보통,2517.75,2564,2628,2722.5,2811.75,2918.5,3048.5,3189.25,3346,3498.25,3641,3775.75,3906.25,4033.5,4158.25,4279,4395.5,4512.5,4570.67,5409.08,5485.64
(주)에피소든,낮음,3679.75,3755.75,3865.75,4022.75,4169.25,4319.75,4478.25,4631.75,4805.5,4984.75,5171.25,5365.75,5562.75,5760.25,5959,6162.75,6372.75,6579.75,6686.67,7435.83,7503.09
(주)엑심베이,보통,3488,3545.75,3620.25,3727,3811.5,3915.75,4043.25,4179.75,4347.25,4522.25,4702.5,4890,5077,5261,5437,5605.5,5769,5929.5,6011.67,7339.33,7460
(주)엔클로니,보통,3157,3206.25,3272.5,3378.5,3473.5,3594.25,3730.25,3856.75,3991.25,4124,4263.25,4411,4563,4717.25,4875,5042.75,5223.5,5414,5512.67,6598.5,6697.09
(주)엘아이지시스템,높음,3356.75,3433.25,3543,3686.75,3815,3925.75,4034.75,4142.75,4275,4417.5,4570.25,4734,4907.5,5090.25,5279.5,5477.5,5687,5909,6022.67,7494.92,7629.18
(주)엠로,매우높음,3768.25,3847.25,3956.5,4103,4230,4350.75,4478.75,4609.5,4770,4945.5,5141,5360.5,5596,5841.5,6091.25,6344.75,6604.25,6868.25,7003.33,8705.5,8860.18
(주)엠트리센,낮음,3751,3821.5,3917.75,4055,4178.5,4315.25,4467,4614.25,4770.5,4913,5049,5190.75,5342.75,5511.75,5698.5,5901.75,6123.25,6366.5,6490,7966.33,8101.64
(주)오래,매우낮음,3066,3123,3206.25,3335.25,3464,3616.75,3787.25,3952.25,4126.5,4295.75,4461.5,4623.25,4777,4922.5,5065.5,5221.25,5399.5,5595.75,5699.67,6848.92,6953.18
(주)오버컴테크,낮음,3210.25,3272.25,3360.5,3489,3608.5,3739.75,3882.75,4021.75,4175.75,4327.25,4474.25,4617.25,4749.75,4871.75,4989.5,5112.75,5250.5,5404.25,5485,6575.83,6675.27
(주)오프리메드,낮음,2582.75,2626,2684.5,2774,2855.5,2953.75,3066,3177.25,3303.25,3435,3574.75,3721.5,3866.75,4008.25,4147.5,4288.75,4435.25,4585.75,4663,5495.42,5571.09
(주)오픈소스컨설팅,높음,4225,4296.5,4388.25,4519,4624.5,4747.75,4893.5,5046.75,5232.75,5434,5650,5869.5,6079.75,6279,6477.25,6695.75,6947,7230,7377.67,9216.5,9384.18
(주)온블록,매우낮음,4137.75,4213.75,4320.5,4482.5,4639.75,4824,5034.25,5248.75,5486.5,5729.75,5981.25,6236,6484.5,6722,6949.25,7176.25,7411.5,7656.5,7782.67,9180.83,9308.09
(주)옵트에이아이,매우낮음,3202.5,3264.75,3351,3473,3582.5,3697.5,3824.75,3954.75,4107.75,4269.25,4437.75,4611.25,4782.75,4949.75,5114,5280.5,5453.75,5635,5728,6769.5,6864.36
(주)와따에이아이,낮음,3872.5,3945,4044.5,4188.5,4320.75,4471.25,4644.25,4822.25,5022.5,5222.75,5420.5,5615.5,5803.25,5984.75,6164,6349,6546.25,6758.5,6867.67,8259.25,8386.36
(주)와이톤,낮음,2983.5,3040.5,3119,3230.25,3327.75,3439.25,3569.75,3700.75,3840.5,3967.5,4085.75,4212.5,4363.25,4535.25,4707,4856.5,4972,5058.25,5094.67,5884.5,5956.82
(주)와탭랩스,보통,4145.25,4224.5,4330.75,4477,4604,4742.5,4901.5,5068,5265,5468.25,5677.5,5898.75,6134.25,6393.5,6685.25,7011,7376.25,7768.25,7968,9273.67,9392.36
(주)원익피앤이,매우높음,3280.75,3348.75,3451,3601.25,3743,3891.25,4045,4188.75,4346.75,4504,4662.25,4823.25,4983.25,5143.75,5308.75,5487,5685.5,5901.5,6013.67,7271.5,7386
(주)위드네트웍스,높음,3312.5,3371.25,3449,3558.25,3646,3738.75,3840.5,3941,4063,4195,4340.25,4500,4669.75,4847,5029.5,5219,5420.25,5635.75,5745.33,6977.83,7090.45
(주)위버스브레인,낮음,3150,3205.5,3279.5,3386.25,3477.5,3581,3700.75,3824.25,3970,4124.75,4288.25,4458.5,4629,4795.75,4959,5124.5,5297.25,5478.5,5571.67,6618.83,6714.18
(주)위버케어,매우낮음,4288.75,4377.5,4508.5,4701,4889.5,5092.25,5310.25,5524.25,5761.25,6002.5,6249.5,6499.75,6744.75,6982,7214,7448.75,7691,7936.75,8062.67,9430.5,9554.64
(주)유니아이,매우낮음,3217.75,3280.5,3367.75,3490.75,3601,3717,3844.75,3975.5,4129.5,4291.5,4461.25,4635.75,4808.25,4976.5,5141.5,5309,5483,5664.75,5758,6804,6899.27
(주)유디아이디,보통,3139,3193.75,3266.75,3371,3455.75,3546.5,3647.25,3747.75,3869.25,3999.5,4137.5,4282,4428.75,4578.25,4732.25,4895,5067,5245.75,5338,6387.42,6482.82
(주)유리프트,낮음,3257.75,3320.25,3407.25,3532.25,3646.5,3769.75,3906.5,4044.5,4203,4369.25,4544,4726.5,4909.5,5089.5,5265.5,5441.5,5622.25,5807.25,5902,6955,7050.73
(주)유비퍼스트대원,낮음,3373.75,3439,3541.25,3699.75,3849.25,4005.75,4159,4288.25,4423.75,4560.5,4701.75,4855,5022.75,5199,5382,5567.25,5756,5962.75,6064.67,7667.5,7814.82
(주)유씨아이,보통,3036.5,3093.5,3172.5,3283.25,3374,3470.5,3574,3669,3778,3886.25,3998.5,4121.5,4251.5,4383.5,4515.5,4653.25,4804.25,4968.5,5054,6269.42,6379.91
(주)유아이엠디,낮음,3404.75,3467.5,3550.5,3665.25,3760.5,3865.5,3991,4128.25,4297.25,4480,4675.25,4883,5097.75,5316,5537.25,5764,5997.5,6232.75,6353.67,7509.17,7613.73
(주)이너버스,낮음,3594.5,3665,3760,3888.25,3994,4100.5,4217.5,4335.25,4474,4615.75,4762.5,4919,5084,5255.5,5434.5,5625,5830,6047.5,6160,7530.92,7655.64
(주)이노비즈,높음,3637.25,3702.5,3791.25,3920.5,4034.25,4165,4314.5,4464.75,4634,4805,4983.75,5177,5387,5616.75,5862.5,6115.5,6366,6603.75,6721.67,7935.42,8045.36
(주)이브릿지,매우높음,2846.75,2894.75,2957.5,3047,3115,3191.5,3278.75,3366,3473.5,3589.75,3717.25,3857.5,4005.5,4156.25,4307.5,4461.25,4621.25,4787.25,4872.67,5721.5,5798.64
(주)이비즈테크,낮음,3411.5,3464.25,3531.75,3633.75,3713.25,3813.75,3931.25,4043.25,4172,4302.5,4437.5,4580.5,4729.5,4885.5,5050,5227.5,5420,5630,5736.33,7052.67,7173.27
(주)이우소프트,낮음,3705.25,3783.5,3894.25,4046,4184,4326,4479.5,4631,4799.25,4958,5108.25,5256.25,5398.75,5537.75,5677.5,5824,5987,6170.75,6265.33,7757.75,7894.09
(주)이즈파크,높음,3194,3254,3333.25,3440.25,3525.75,3612.25,3710,3814,3944.75,4085.5,4233.5,4386.75,4539.25,4691.25,4845.25,5005.5,5178.5,5366.75,5463,6729.58,6845.27
(주)이투비비,낮음,3176.25,3235.25,3319,3444,3557.5,3681,3811.75,3934,4070.25,4210.25,4355.75,4504.5,4649.25,4789.5,4929.25,5075,5231,5392.75,5476.33,6403.5,6487.64
(주)이포즌,높음,4020,4095.75,4195.5,4330.75,4441.5,4557.5,4691,4833.75,5009,5194.25,5388,5589.25,5793.75,6000.5,6211.75,6432.25,6665.25,6908.75,7034,8460.42,8590.09
(주)인공지능팩토리,낮음,3384.25,3447.75,3535.5,3661.25,3773.5,3895.5,4032,4170.75,4330.25,4493.5,4659.25,4825.5,4988,5146.5,5302.5,5462,5630.75,5810.75,5903,7058,7163.36
(주)인엘씨테크놀러지,낮음,3798.75,3872.5,3978,4129.25,4260,4393.5,4534,4667,4819.75,4971,5109,5231,5340,5448.25,5571,5718.25,5891,6080.75,6178.67,7569.17,7695.82
(주)인졀미,매우낮음,2975.5,3033,3112,3222.75,3321,3425.25,3542.5,3664.25,3807.75,3959.25,4118,4282.25,4446,4606.25,4763.5,4922.5,5087,5257.25,5344.67,6287.5,6373.27
