company_name_j,company_type,industry
에스디바이오센서,외부감사법인,전기식 진단 및 요법 기기 제조업
에스디바이오센서,수출입 기업,전기식 진단 및 요법 기기 제조업
이노버스,중소기업,그 외 기타 일반목적용 기계 제조업
이노버스,병역특례 인증업체,그 외 기타 일반목적용 기계 제조업
클레온,중소기업,응용 소프트웨어 개발 및 공급업
클레온,주식회사,응용 소프트웨어 개발 및 공급업
클레온,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
인졀미,중소기업,응용 소프트웨어 개발 및 공급업
인졀미,주식회사,응용 소프트웨어 개발 및 공급업
트렌드오브데이터,"",솔루션·SI·ERP·CRM
테크핀레이팅스,"",기타금융
어센트코리아,중소기업,응용 소프트웨어 개발 및 공급업
어센트코리아,주식회사,응용 소프트웨어 개발 및 공급업
어센트코리아,수출입 기업,응용 소프트웨어 개발 및 공급업
와탭랩스,스타트업,응용 소프트웨어 개발 및 공급업
와탭랩스,중소기업,응용 소프트웨어 개발 및 공급업
와탭랩스,주식회사,응용 소프트웨어 개발 및 공급업
와탭랩스,사단법인,응용 소프트웨어 개발 및 공급업
유디아이디,스타트업,응용 소프트웨어 개발 및 공급업
유디아이디,중소기업,응용 소프트웨어 개발 및 공급업
유디아이디,주식회사,응용 소프트웨어 개발 및 공급업
유디아이디,외부감사법인,응용 소프트웨어 개발 및 공급업
스톤위즈,중소기업,시스템 소프트웨어 개발 및 공급업
스톤위즈,주식회사,시스템 소프트웨어 개발 및 공급업
이즈파크,중소기업,응용 소프트웨어 개발 및 공급업
이즈파크,주식회사,응용 소프트웨어 개발 및 공급업
이즈파크,외부감사법인,응용 소프트웨어 개발 및 공급업
아이티로그인,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업"
아이티로그인,주식회사,"컴퓨터 및 주변장치, 소프트웨어 도매업"
아이티로그인,외부감사법인,"컴퓨터 및 주변장치, 소프트웨어 도매업"
아일리스프런티어,중소기업,응용 소프트웨어 개발 및 공급업
아일리스프런티어,주식회사,응용 소프트웨어 개발 및 공급업
프로게이트테크놀로지,중소기업,전기용 기계ㆍ장비 및 관련 기자재 도매업
텔코웨어,중소기업,응용 소프트웨어 개발 및 공급업
텔코웨어,코스피,응용 소프트웨어 개발 및 공급업
텔코웨어,주식회사,응용 소프트웨어 개발 및 공급업
텔코웨어,외부감사법인,응용 소프트웨어 개발 및 공급업
텔코웨어,연구소,응용 소프트웨어 개발 및 공급업
텔코웨어,수출입 기업,응용 소프트웨어 개발 및 공급업
플래닝고,중소기업,""
플래닝고,주식회사,""
팀블랙버드,중소기업,응용 소프트웨어 개발 및 공급업
팀블랙버드,주식회사,응용 소프트웨어 개발 및 공급업
